gene,Subacute-log10(padj),np_score_1000,color,Pubchem_CID,Name
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707293,4-[4-[[2-(4-chlorophenyl)phenyl]methyl]-4-cyanopiperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118705742,4-[4-[[2-(4-chlorophenyl)-5-[2-(dimethylamino)ethoxy]phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707289,4-[4-[2-(4-chlorophenyl)phenyl]sulfanylpiperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707290,4-[4-[(R)-[2-(4-chlorophenyl)phenyl]sulfinyl]piperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707291,4-[4-[(S)-[2-(4-chlorophenyl)phenyl]sulfinyl]piperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707292,4-[4-[2-(4-chlorophenyl)phenyl]sulfonylpiperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,25117879,4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707288,4-[4-[2-(4-chlorophenyl)benzoyl]piperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707175,4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N'-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzenecarboximidamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707285,"4-[1-[[2-(4-chlorophenyl)phenyl]methyl]-4-oxo-1,4lambda5-azaphosphinan-4-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide"
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707286,"4-[4-[[2-(4-chlorophenyl)phenyl]methyl]-4-oxo-1,4lambda5-azaphosphinan-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide"
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707287,4-[4-[2-(4-chlorophenyl)phenoxy]piperidin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide
Bcl2l1,1.3131358098906096,16.711475124459902,red,118707282,2-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylpyrimidine-5-carboxamide
