gene,Subacute-log10(padj),Pubchem_CID,Name,np_score_mean_by_name,gene_count_by_name
Kif11,4.450332649484003,44430571,"(S)-2-(3-aminopropyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,11232325,N-[4'-(trifluoromethyl)-4-biphenylyl]sulfamide,19.9919714603141,1
Kif11,4.450332649484003,11654962,"1-[(3R,3aR)-8-methyl-3-(3-morpholin-4-ylpropyl)-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone",19.9919714603141,1
Kif11,4.450332649484003,11634073,"1-[3-[(3R,3aR)-2-acetyl-8-fluoro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-3-yl]propyl]-1,4-diazepan-5-one",19.9919714603141,1
Kif11,4.450332649484003,11624832,"1-[(3R,3aR)-8-fluoro-3-(3-hydroxypropyl)-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone",19.9919714603141,1
Kif11,4.450332649484003,11417613,N-{4''-[(trifluoromethyl)sulfonyl]-4-biphenylyl}methanesulfonamide,19.9919714603141,1
Kif11,4.450332649484003,11630239,N-(4'-isopropyl-4-biphenylyl)urea,19.9919714603141,1
Kif11,4.450332649484003,11545686,"1-[(3R,3aR)-3-[3-(dimethylamino)propyl]-8-fluoro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone",19.9919714603141,1
Kif11,4.450332649484003,11494867,"1-[(3R,3aR)-3-[3-(dimethylamino)propyl]-8-methyl-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone",19.9919714603141,1
Kif11,4.450332649484003,11582321,"1-[(3R,3aR)-8-chloro-3-(3-dimethylamino-propyl)-3-phenyl-3a,4-dihydro-3H-5-oxa-1,9b-diaza-cyclopenta[a]naphthalen-2-yl]-ethanone",19.9919714603141,1
Kif11,4.450332649484003,11720191,"1-[(3R,3aR)-3-[3-(4-acetylpiperazin-1-yl)propyl]-8-chloro-3-phenyl-3a,4-dihydropyrazolo[5,1-c][1,4]benzoxazin-2-yl]ethanone",19.9919714603141,1
Kif11,4.450332649484003,11597510,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-(3,3-difluoropyrrolidin-1-yl)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,44435351,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-(dimethylamino)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,44430576,"(S)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2-(3-(2,2,2-trifluoroethylamino)propyl)-2H-pyrrole-1(5H)-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,44435377,"(S)-2-((R)-3-amino-4,4-difluorobutyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,23626142,"N-[4-(2,3-dihydro-1,4-benzodioxin-6-yl)phenyl]sulfamide",19.9919714603141,1
Kif11,4.450332649484003,44430578,"(S)-2-((S)-3-amino-4,4-difluorobutyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,2782719,4'-Trifluoromethyl-biphenyl-4-carboxylic acid,19.9919714603141,1
Kif11,4.450332649484003,53482932,"(2S)-N-[(1S)-1-[5-(2,5-difluorophenyl)-2-[(3-fluorophenyl)methyl]-1,2,4-triazol-3-yl]-2-methoxy-2-methylpropyl]-N-[[(3S,4R)-4-fluoropyrrolidin-3-yl]methyl]oxolane-2-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,11539390,"1-((S)-5-(3-(2-aza-bicyclo[2.2.1]heptan-2-yl)propyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,44435350,"(S)-1-(5-(3-aminopropyl)-3-(2,5-difluorophenyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,15604796,"(5S)-5-(3-aminopropyl)-3-(2,5-difluorophenyl)-N,N-dimethyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,44430571,"(S)-2-(3-aminopropyl)-4-(2,5-difluorophenyl)-N,N-dimethyl-2-phenyl-2H-pyrrole-1(5H)-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,11668820,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-(3-fluoroazetidin-1-yl)propyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,15604796,"(5S)-5-(3-aminopropyl)-3-(2,5-difluorophenyl)-N,N-dimethyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,11718862,"(S)-1-(3-(2,5-difluorophenyl)-5-(3-morpholinopropyl)-5-phenyl-4,5-dihydropyrazol-1-yl)ethanone",19.9919714603141,1
Kif11,4.450332649484003,11175005,N-[2-fluoro-4''-(trifluoromethyl)-4-biphenylyl]sulfamide,19.9919714603141,1
Kif11,4.450332649484003,11254540,N-(4''-chloro-4-biphenylyl)methanesulfonamide,19.9919714603141,1
Kif11,4.450332649484003,53482881,"(2S)-N-[(1S)-1-[5-(2,5-difluorophenyl)-2-[(3-fluorophenyl)methyl]-1,2,4-triazol-3-yl]-2-methoxy-2-methylpropyl]-N-[[(3S,4R)-1-ethyl-4-fluoropyrrolidin-3-yl]methyl]oxolane-2-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,53482878,"(2S)-N-[(3S)-3-amino-4-fluorobutyl]-N-[(1S)-1-[2-benzyl-5-(2,5-difluorophenyl)-1,2,4-triazol-3-yl]-2-methoxy-2-methylpropyl]oxolane-2-carboxamide",19.9919714603141,1
Kif11,4.450332649484003,90644003,"6-(3-tert-butylanilino)-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,90644004,"6-[3,5-bis(trifluoromethyl)anilino]-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,90644005,"6-(3-phenylanilino)-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,29066543,"4-N-[3-(trifluoromethyl)phenyl]benzene-1,4-diamine",19.9919714603141,1
Kif11,4.450332649484003,90644011,"3-[(2-oxo-3,4-dihydro-1H-quinolin-6-yl)amino]benzoic acid",19.9919714603141,1
Kif11,4.450332649484003,90644001,"6-[2-(trifluoromethyl)anilino]-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,90644002,"6-anilino-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,46244165,"9-(Trifluoromethyl)-1,2,4,7-tetrahydropyrido[2,3-c]carbazol-3-one",19.9919714603141,1
Kif11,4.450332649484003,90644009,"6-(3-aminoanilino)-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,86342363,"6-(3-nitroanilino)-3,4-dihydro-1H-quinolin-2-one",19.9919714603141,1
Kif11,4.450332649484003,11709173,N-[3-Fluoro-4'-(trifluoromethyl)-4-biphenylyl]urea,19.9919714603141,1
Kif11,4.450332649484003,11623295,N-[4''-(trifluoromethyl)-4-biphenylyl]urea,19.9919714603141,1
Kif11,4.450332649484003,44130821,"[5-(3-hydroxyphenyl)-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-6-yl]-(4-methylphenyl)methanone",19.9919714603141,1
Kif11,4.450332649484003,90643997,[4-[3-(Trifluoromethyl)anilino]phenyl]urea,19.9919714603141,1
Kif11,4.450332649484003,53363372,"6-[3-(Trifluoromethyl)phenylamino]-1,2,3,4-tetrahydroquinoline-2-one",19.9919714603141,1
Kif11,4.450332649484003,11514833,[7-(trifluoromethyl)-9H-carbazol-2-yl]urea,19.9919714603141,1
Kif11,4.450332649484003,90644010,"methyl 3-[(2-oxo-3,4-dihydro-1H-quinolin-6-yl)amino]benzoate",19.9919714603141,1
Kif11,4.450332649484003,66572323,"(2R)-2-amino-3-[1-(2-fluorophenyl)-1,2-diphenylethyl]sulfanylpropanoic acid",19.9919714603141,1
Kif11,4.450332649484003,11593788,N-(4'-methyl-4-biphenylyl)urea,19.9919714603141,1
Kif11,4.450332649484003,15541181,4''-(Trifluoromethyl)-4-biphenylyl sulfamate,19.9919714603141,1
Kif11,4.450332649484003,53482880,"(2S)-N-[(3S)-3-amino-4-fluorobutyl]-N-[(1S)-1-[2-benzyl-5-(2,5-difluorophenyl)-1,2,4-triazol-3-yl]-2-methoxy-2-methylpropyl]-2-hydroxypropanamide",19.9919714603141,1
Kif11,4.450332649484003,53482933,"(2S)-N-[(1S)-1-[2-benzyl-5-(2,5-difluorophenyl)-1,2,4-triazol-3-yl]-2-methoxy-2-methylpropyl]-N-[[(3S,4R)-4-fluoropyrrolidin-3-yl]methyl]oxolane-2-carboxamide",19.9919714603141,1
